Name,Location,Country,Brand,Sources,Rel_Score,Strat_Score,Asset_Score,Market_Score,Edit_Score
"1 Hotel Brooklyn Bridge","New York","USA","1 Hotels","DMW New York Watchlist",,,,,
"1 Hotel Central Park","New York","USA","1 Hotels","DMW New York Watchlist",,,,,
"1 Hotel Hanalei Bay","Kauai","USA","1 Hotels","AHEAD Awards",,,,,
"1 Hotel Mayfair","London","United Kingdom","1 Hotels","DMW London Watchlist",,,,,
"11 Howard","New York","USA","Design Hotels","DMW New York Watchlist",,,,,
"Ace Hotel Sydney","Sydney","Australia","Ace Hotel","AHEAD Awards",,,,,
"Alex Lake Zürich","Zurich","Switzerland","The Living Circle","DMW Zurich Watchlist",,,,,
"Aman New York","New York","USA","Aman","DMW New York Watchlist, Luxury Flagships, Michelin Keys, Worlds 50 Best",,,,,
"Aman Tokyo","Tokyo","Japan","Aman","Luxury Flagships, Michelin Keys, Worlds 50 Best",,,,,
"Aman Venice","Venice","Italy","Aman","Luxury Flagships, Michelin Keys, Worlds 50 Best",,,,,
"Amangiri","Canyon Point","USA","Aman","Luxury Flagships, Michelin Keys, Worlds 50 Best",,,,,
"Amanpuri","Phuket","Thailand","Aman","Luxury Flagships",,,,,
"Atlantis The Royal","Dubai","UAE","Atlantis","Worlds 50 Best",,,,,
"Baccarat Hotel","New York","USA","Baccarat","Forbes 5-Star",,,,,
"Baccarat Hotel New York","New York","USA","Baccarat","DMW New York Watchlist",,,,,
"Badrutt's Palace","St. Moritz","Switzerland","Independent","La Liste Top 1000, Worlds 50 Best",,,,,
"Balesin Island Club","Polillo","Philippines","Independent","Worlds 50 Best",,,,,
"Baur au Lac","Zurich","Switzerland","Independent","DMW Zurich Watchlist",,,,,
"Belmond Hotel Cipriani","Venice","Italy","Belmond","Michelin Keys",,,,,
"Borgo Egnazia","Savelletri","Italy","Independent","Worlds 50 Best",,,,,
"Broadwick Soho","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"Brown's Hotel","London","United Kingdom","Rocco Forte","DMW London Watchlist",,,,,
"Bulgari Hotel Bali","Bali","Indonesia","Bulgari","Luxury Flagships",,,,,
"Bulgari Hotel London","London","United Kingdom","Bulgari","Forbes 5-Star",,,,,
"Bulgari Hotel Milano","Milan","Italy","Bulgari","Luxury Flagships",,,,,
"Bulgari Hotel Rome","Rome","Italy","Bulgari","AHEAD Awards",,,,,
"Bulgari Hotel Tokyo","Tokyo","Japan","Bulgari","Michelin Keys",,,,,
"Burj Al Arab","Dubai","UAE","Jumeirah","Michelin Keys",,,,,
"Capella Bangkok","Bangkok","Thailand","Capella","Worlds 50 Best",,,,,
"Capella Sydney","Sydney","Australia","Capella","AHEAD Awards",,,,,
"Carlyle Hotel","New York","USA","Rosewood","Michelin Keys",,,,,
"Casa Cipriani New York","New York","USA","Cipriani","DMW New York Watchlist",,,,,
"Chablé Yucatán","Chocholá","Mexico","Chablé","Worlds 50 Best",,,,,
"Cheval Blanc Paris","Paris","France","Cheval Blanc","La Liste Top 1000, Luxury Flagships, Michelin Keys, Worlds 50 Best",,,,,
"Cheval Blanc Randheli","Maldives","Maldives","Cheval Blanc","Luxury Flagships",,,,,
"Claridge's","London","United Kingdom","Maybourne","DMW London Watchlist, Luxury Flagships, Michelin Keys, Worlds 50 Best",,,,,
"Copacabana Palace","Rio de Janeiro","Brazil","Belmond","Luxury Flagships",,,,,
"Crosby Street Hotel","New York","USA","Firmdale","DMW New York Watchlist",,,,,
"Desa Potato Head","Seminyak","Indonesia","Potato Head","Worlds 50 Best",,,,,
"Dorado Beach, a Ritz-Carlton Reserve","Dorado","Puerto Rico","Ritz-Carlton Reserve","Luxury Flagships",,,,,
"Eden Rock","St. Barths","St. Barths","Oetker Collection","Worlds 50 Best",,,,,
"Equinox Hotel","New York","USA","Equinox","Worlds 50 Best",,,,,
"Equinox Hotel New York","New York","USA","Equinox","DMW New York Watchlist",,,,,
"Faena New York","New York","USA","Faena","DMW New York Watchlist",,,,,
"Finca Cortesin","Casares","Spain","Independent","Michelin Keys",,,,,
"Flemings Mayfair","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"Four Seasons Astir Palace","Athens","Greece","Four Seasons","Worlds 50 Best",,,,,
"Four Seasons Bangkok at Chao Phraya River","Bangkok","Thailand","Four Seasons","Worlds 50 Best",,,,,
"Four Seasons Firenze","Florence","Italy","Four Seasons","Luxury Flagships, Worlds 50 Best",,,,,
"Four Seasons George V","Paris","France","Four Seasons","Luxury Flagships, Michelin Keys",,,,,
"Four Seasons Hotel George V","Paris","France","Four Seasons","Forbes 5-Star",,,,,
"Four Seasons Hotel London at Park Lane","London","United Kingdom","Four Seasons","DMW London Watchlist",,,,,
"Four Seasons Hotel New York Downtown","New York","USA","Four Seasons","DMW New York Watchlist",,,,,
"Four Seasons Madrid","Madrid","Spain","Four Seasons","Worlds 50 Best",,,,,
"Four Seasons Surf Club","Miami","USA","Four Seasons","Luxury Flagships",,,,,
"Gleneagles","Auchterarder","United Kingdom","Ennismore","Worlds 50 Best",,,,,
"Gleneagles Townhouse","Edinburgh","United Kingdom","Ennismore","AHEAD Awards",,,,,
"Gora Kadan","Hakone","Japan","Relais & Châteaux","Michelin Keys",,,,,
"Hoshinoya Tokyo","Tokyo","Japan","Hoshino Resorts","Worlds 50 Best",,,,,
"Hotel AMERON Zürich Bellerive au Lac","Zurich","Switzerland","AMERON","DMW Zurich Watchlist",,,,,
"Hotel B2 & Spa Zürich","Zurich","Switzerland","Independent","DMW Zurich Watchlist",,,,,
"Hotel Barrière Fouquet’s New York","New York","USA","Barrière","DMW New York Watchlist",,,,,
"Hotel Cipriani","Venice","Italy","Belmond","Luxury Flagships",,,,,
"Hôtel de Crillon","Paris","France","Rosewood","Luxury Flagships, Worlds 50 Best",,,,,
"Hôtel de Paris Monte-Carlo","Monaco","Monaco","Monte-Carlo SBM","La Liste Top 1000",,,,,
"Hotel du Cap-Eden-Roc","Antibes","France","Oetker Collection","Luxury Flagships, Worlds 50 Best",,,,,
"Hôtel du Palais","Biarritz","France","Hyatt","Michelin Keys",,,,,
"Hotel Esencia","Tulum","Mexico","Independent","Worlds 50 Best",,,,,
"Hotel Glockenhof Zürich","Zurich","Switzerland","Independent","DMW Zurich Watchlist",,,,,
"Hotel Helvetia Zürich","Zurich","Switzerland","Independent","DMW Zurich Watchlist",,,,,
"Hotel Schweizerhof Zürich","Zurich","Switzerland","Independent","DMW Zurich Watchlist",,,,,
"Hotel Splendido","Portofino","Italy","Belmond","Luxury Flagships",,,,,
"Hotel St. Gotthard","Zurich","Switzerland","Independent","DMW Zurich Watchlist",,,,,
"Il San Pietro di Positano","Positano","Italy","Independent","La Liste Top 1000, Michelin Keys",,,,,
"J.K. Place Capri","Capri","Italy","J.K. Place","La Liste Top 1000",,,,,
"Janu Tokyo","Tokyo","Japan","Janu","AHEAD Awards",,,,,
"Kameha Grand Zürich","Zurich","Switzerland","Autograph Collection","DMW Zurich Watchlist",,,,,
"La Mamounia","Marrakech","Morocco","Independent","Worlds 50 Best",,,,,
"La Réserve Eden au Lac Zurich","Zurich","Switzerland","La Réserve","DMW Zurich Watchlist",,,,,
"La Réserve Paris","Paris","France","La Réserve","La Liste Top 1000, Worlds 50 Best",,,,,
"Le Bristol","Paris","France","Oetker Collection","Luxury Flagships, Michelin Keys",,,,,
"Le Meurice","Paris","France","Dorchester Collection","Michelin Keys",,,,,
"Le Royal Monceau","Paris","France","Raffles","Luxury Flagships",,,,,
"Le Sirenuse","Positano","Italy","Independent","Worlds 50 Best",,,,,
"Mandarin Oriental Bangkok","Bangkok","Thailand","Mandarin Oriental","La Liste Top 1000, Luxury Flagships, Worlds 50 Best",,,,,
"Mandarin Oriental Hong Kong","Hong Kong","Hong Kong","Mandarin Oriental","Luxury Flagships",,,,,
